ProductID,ProductName,Price,Stock
1,Car USB Charger Dual Port,14.99,200
2,All-Weather Floor Mats,49.99,90
3,Engine Flush Cleaner,19.99,100
4,Polishing Pad Set,19.99,180
5,Car Battery 12V,129.99,35
6,LED Interior Lights,24.99,180
7,Tire Inflator Pump,39.99,120
8,Dashboard Cleaner Spray,9.99,250
9,Car DVD Player,179.99,20
10,Rearview Mirror Phone Mount,12.99,180
11,OBD2 Code Reader,59.99,80
12,Seat Cushion,29.99,80
13,Car Polishing Kit,34.99,120
14,Car Antenna Booster,19.99,120
15,Car Organizer Trunk,34.99,120
16,Air Filter for Cars,12.99,180
17,Brake Pads Front Set,49.99,90
18,Leather Cleaner & Conditioner,22.99,80
19,Vehicle Security Alarm,129.99,30
20,Portable Jump Starter,79.99,40
21,Hubcaps Set 4pcs,49.99,100
22,Touchscreen Infotainment System,399.99,30
23,LED Fog Lights,49.99,70
24,Air Conditioning Filter,29.99,120
25,Brake Pads Rear Set,44.99,80
26,All-Season Tire Set,499.99,25
27,Impact Wrench Electric,149.99,35
28,Vehicle GPS Navigation System,199.99,50
29,Car Wash Soap,9.99,300
30,Trunk Cargo Net,24.99,100
31,Synthetic Motor Oil 5W-30,29.99,250
32,Seat Organizer Pocket,19.99,150
33,Car Stereo Receiver,149.99,60
34,Steering Wheel Cover Leather,24.99,150
35,Universal Seat Covers,59.99,60
36,Engine Timing Light,34.99,90
37,Rearview Camera,99.99,70
38,Tire Pressure Gauge Digital,19.99,180
39,Leather Steering Wheel Cover,29.99,90
40,Wheel Rim Cleaner,12.99,220
41,Microfiber Towel Set,19.99,250
42,Car Roof Box 300L,249.99,15
43,Oil Filter,7.99,350
44,Car Amplifier,249.99,25
45,Car Keychain LED Light,7.99,300
46,Spark Plug Pack 4pcs,19.99,200
47,Touchscreen Car Media Player,399.99,25
48,Tire Repair Kit,29.99,150
49,Car Phone Holder Magnetic,12.99,180
50,Reverse Parking Sensor,89.99,50
51,Brake Fluid DOT4,12.99,180
52,Car Interior Vacuum Cleaner,49.99,60
53,Wheel Locks Set,24.99,200
54,Creeper Rolling Seat,79.99,60
55,Power Steering Fluid,14.99,220
56,Air Fryer,129.99,50
57,Microfiber Wheel Towels,12.99,220
58,Hydraulic Car Jack 2 Ton,149.99,30
59,Car Amplifier,199.99,40
60,Radiator Coolant 1L,9.99,300
61,Polishing Pad Set,19.99,180
62,Car Sunshade Foldable,14.99,200
63,Car Stereo Amplifier,199.99,40
64,Car USB Charger Dual Port,14.99,200
65,Touchscreen Infotainment System,399.99,30
66,Brake Pads Rear Set,44.99,80
67,All-Weather Floor Mats,49.99,90
68,Air Filter for Cars,12.99,180
69,Universal Headrest Hooks,9.99,250
70,Car Polishing Kit,34.99,120
71,Car Organizer Trunk,34.99,120
72,Wheel Rim Cleaner,12.99,220
73,Car DVD Player,179.99,20
74,Engine Timing Light,34.99,90
75,Brake Pads Front Set,49.99,90
76,Vehicle Security Alarm,129.99,30
77,Car Battery 12V,129.99,35
78,All-Season Tire Set,499.99,25
79,Portable Jump Starter,79.99,40
80,Leather Cleaner & Conditioner,22.99,80
81,Car Roof Box 300L,249.99,15
82,Dash Cam 1080p,89.99,120
83,OBD2 Code Reader,59.99,80
84,Trunk Cargo Net,24.99,100
85,Car Phone Holder Magnetic,12.99,180
86,Socket Wrench Set 24pcs,89.99,50
87,Dashboard Cleaner Spray,9.99,250
88,Wheel Locks Set,24.99,200
89,Air Conditioning Filter,29.99,120
90,Impact Wrench Electric,149.99,35
91,Hubcaps Set 4pcs,49.99,100
92,Vehicle GPS Navigation System,199.99,50
93,LED Fog Lights,49.99,70
94,Car Keychain LED Light,7.99,300
95,LED Interior Lights,24.99,180
96,Car Stereo Receiver,149.99,60
97,Steering Wheel Cover Leather,24.99,150
98,Seat Organizer Pocket,19.99,150
99,Leather Steering Wheel Cover,29.99,90
100,Rearview Camera,99.99,70
